redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,ra_host,dec_host,globalmass,globalmass_err,globalrestframe_gz,globalrestframe_gz_err,d_dlr,localmass,localmass_err,localrestframe_gz,localrestframe_gz_err,redshift_HD
0.02905506,1.526e-05,z_gal,58180.62126192248,0.0012473594543176,-2.747574309858319,0.3330676960088438,0.5041427268151892,0.000122143567965,0.0914282518675535,0.0635295179335743,-4.247747052016121e-05,0.0092642983877494,0.0169049830109996,-6.146182732016878e-06,-7.3228224867177885e-06,0.0028465029680904,0.0115805248839851,3.1,0.0,0.9955929225303692,226.845147,38.416547,snia,,1.0,1.0,2018aab,100.0,226.846817768642,38.420393301027225,10.003,0.1209297316626478,1.16969653,0.019849433241,1.5322682348750876,7.405,0.263,0.73269653,0.375373147681,0.02936329362132062
0.02974109,1.121e-05,z_gal,58213.15026791291,0.0055832453068339,-0.7110998290288386,-0.1486086167417599,0.0413817702974483,0.0001702872436917,0.037109825273716,0.0280085712146681,2.0735687235291903e-06,-0.0002028636696492,-0.0003973349390137,3.193792142581116e-09,-4.135694647625722e-06,-0.0001169820081187,0.0098399610763543,3.1,0.0,1.3033276997073706e-06,198.606075,50.977709,snia-cosmo,norm,1.0,1.0,2018amo,100.0,198.60868974101308,50.979166235587,10.583,0.1546738504078824,1.26869653,0.018439088915,0.3916383073814234,9.062,0.057,1.27269653,0.021260291625,0.03093425741448197
0.04036722,0.00388973,z_snid,58214.47844466911,0.00413529173633,-0.0479312921879071,-0.0976153697418473,0.0358146335311175,0.0001251305968696,0.0498321666544986,0.0275174987153456,1.292591464730712e-06,-0.0003364992533632,-0.0003220833088725,-1.2988431714012946e-07,-2.987207769290636e-06,-0.000123578875452,0.0172359202250955,3.1,0.0,0.0992474324395569,237.514822,42.088482,snia-cosmo,norm,1.0,1.0,2018apn,100.0,237.5148497782924,42.0884478626808,7.942,0.1531535177526131,1.08269653,0.162111073033,0.1460099534859819,7.874,0.481,1.24969653,1.128405069113,0.041767770107895785
0.03235875,1.75e-05,z_gal,58213.95033146832,0.0010389710536288,-1.883614051859681,0.4128866070449392,0.0435652300548099,3.4237437996748575e-05,0.0464836561957686,0.0297817855909572,5.297338667171864e-07,-0.0001672280736563,-0.000507592124107,-5.6220812831301015e-08,-9.043224263337784e-07,-6.109428480814817e-05,0.0102632334138922,3.1,0.0,0.2691278535355169,248.048142,42.713406,snia-cosmo,norm,1.0,1.0,2018aqm,99.75786924939467,248.04770989988072,42.71385211546716,10.268,0.1203702621082134,1.55269653,0.018439088915,0.1389646122945981,9.87,0.062,1.67869653,0.019104973175,0.03375182224754747
0.04114499,1.344e-05,z_gal,59208.83655494514,0.0030866571273509,-1.9694488263602163,-0.1123398922970642,0.2042670864066167,0.0001708947602918,0.2787684381615879,0.0563684127418364,-7.934379593553722e-07,0.0012203384956223,0.0007467471580415,-2.549276938393843e-05,-7.38573680693579e-06,0.0037578712688779,0.0198286171317553,3.1,0.0,0.6495781866120017,156.678658,21.724132,snia-cosmo,norm,1.0,1.0,2020acua,100.0,156.67859705638602,21.72400736348056,10.879,0.136561341528267,1.31169653,0.018439088915,0.0986457801077809,10.543,0.118,1.29569653,0.017691806013,0.0425388840747738
0.053865,1.313e-05,z_gal,58215.52664059572,0.0016437231438384,0.3158562223135606,-0.1081703329226819,0.1346104073636524,6.24237018180564e-05,0.1080102821011784,0.0316777194549991,-9.875060467348009e-07,-0.0022381940880225,0.0001415500422163,-2.9390437414793456e-06,-1.7420642269367048e-06,0.0009715883186993,0.0265524803729349,3.1,0.0,0.1482773888744763,181.242959,32.391378,snia-cosmo,norm,1.0,1.0,2018aqk,100.0,181.2458313091976,32.39117840096614,10.825,0.1226417547167358,1.18869653,0.018384776311,0.8639505585646836,8.722,0.031,1.09769653,0.029732137495,0.054789393823870824
0.02435577,1.243e-05,z_gal,58220.33817925686,0.0077410274966593,0.1699589537769325,-0.1624834908696601,0.3243870375699771,0.0003650261114689,0.1538717513159493,0.0388072734276415,-5.671667624850088e-05,-0.0270178386342976,0.0055192428280463,-5.224073621812753e-06,-1.2728362301622657e-05,-0.0002728794456715,0.0321580493076814,3.1,0.0,0.8314140288275885,181.361093,20.299105,snia-cosmo,norm,1.0,1.0,2018aqh,100.0,181.3662715613203,20.30876339152842,10.441,0.1226417547167358,1.17369653,0.019849433241,1.920277153277336,7.331,0.168,1.07269653,0.268570288751,0.0264067941366255
0.05275113,1.415e-05,z_gal,58226.14394950876,0.0013671707396404,0.933237213952724,0.0252916178301182,0.2023885232047177,4.982490388567807e-05,0.1578564448904543,0.0323120613326576,-2.200588138404621e-06,-0.0088391843394755,0.0018592324509559,-1.1390906746431086e-06,-1.3947186006854312e-06,-0.0002275389476272,0.0217707202018455,3.1,0.0,0.999173887574237,195.110534,18.619384,snia-cosmo,norm,1.0,1.0,2018avp,100.0,195.1118313826348,18.61971481898828,9.313,0.1007174264961133,0.59969653,0.02941088234,1.2079792874825086,7.604,0.191,0.54269653,0.145794375749,0.053620179824565684
0.03588143,2.614e-05,z_gal,58230.56988708589,0.0013208532831812,-0.665964408065229,0.3376155237085839,0.1199764913799299,4.3531776104974856e-05,0.1020819821067517,0.0294009259023094,-2.726424108231496e-07,-0.0055595521344396,0.0003224616797501,-4.865076147628872e-07,-1.1119848350397026e-06,-4.676961016821675e-05,0.009863088440708,3.1,0.0,0.0002682828909285,198.274437,23.459355,snia-cosmo,norm,1.0,1.0,2018loz,99.0909090909091,198.274415584877,23.4593490200837,9.313,0.1203702621082134,1.15069653,0.019104973175,0.035761157639034,9.279,0.073,1.16369653,0.018439088915,0.03774589270786022
0.059615,1.414e-05,z_gal,58911.30113880571,0.0013520358803236,-0.7215875853330929,-0.0432261521180723,0.1387938760599354,4.280571453696674e-05,0.2287905644049187,0.0280550560412344,-5.646152140596501e-07,0.0172410576062256,0.0006052583592332,-2.239427071442203e-06,-1.0243704278786316e-06,0.0011498373187681,0.0092303993915764,3.1,0.0,0.3219292177096283,190.20547,25.750446,snia-cosmo,norm,1.0,1.0,2020dln,100.0,190.2056643262158,25.75036805885458,10.846,0.1262101422231985,1.20869653,0.016970562748,0.180327282932328,10.451,0.025,1.20269653,0.017029386366,0.0602681299801453
