redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,ra_host,dec_host,globalmass,globalmass_err,globalrestframe_gz,globalrestframe_gz_err,d_dlr,localmass,localmass_err,localrestframe_gz,localrestframe_gz_err,redshift_HD,mB,mB_err,model_lumdist,model_mu,model_MB,residuals
0.02974109,1.121e-05,z_gal,58213.15026791291,0.0055832453068339,-0.7110998290288386,-0.1486086167417599,0.0413817702974483,0.0001702872436917,0.037109825273716,0.0280085712146681,2.0735687235291903e-06,-0.0002028636696492,-0.0003973349390137,3.193792142581116e-09,-4.135694647625722e-06,-0.0001169820081187,0.0098399610763543,3.1,0.0,1.3033276997073706e-06,198.606075,50.977709,snia-cosmo,norm,1.0,1.0,2018amo,100.0,198.60868974101308,50.979166235587,10.583,0.1546738504078824,1.26869653,0.018439088915,0.3916383073814234,9.062,0.057,1.27269653,0.021260291625,0.0309342574144819,16.13278322615401,0.03312489005130459,135.62481698501566,35.6616958257344,-19.528912599580387,0.06531652702458095
0.04114499,1.344e-05,z_gal,59208.83655494514,0.0030866571273509,-1.9694488263602163,-0.1123398922970642,0.2042670864066167,0.0001708947602918,0.2787684381615879,0.0563684127418364,-7.934379593553722e-07,0.0012203384956223,0.0007467471580415,-2.549276938393843e-05,-7.38573680693579e-06,0.0037578712688779,0.0198286171317553,3.1,0.0,0.6495781866120017,156.678658,21.724132,snia-cosmo,norm,1.0,1.0,2020acua,100.0,156.67859705638602,21.72400736348056,10.879,0.136561341528267,1.31169653,0.018439088915,0.0986457801077809,10.543,0.118,1.29569653,0.017691806013,0.0425388840747738,16.77627902555755,0.06017401965388203,188.09875235586208,36.37192957459502,-19.595650549037472,-0.3297818551050279
0.059615,1.414e-05,z_gal,58911.30113880571,0.0013520358803236,-0.7215875853330929,-0.0432261521180723,0.1387938760599354,4.280571453696674e-05,0.2287905644049187,0.0280550560412344,-5.646152140596501e-07,0.0172410576062256,0.0006052583592332,-2.239427071442203e-06,-1.0243704278786316e-06,0.0011498373187681,0.0092303993915764,3.1,0.0,0.3219292177096283,190.20547,25.750446,snia-cosmo,norm,1.0,1.0,2020dln,100.0,190.2056643262158,25.75036805885458,10.846,0.1262101422231985,1.20869653,0.016970562748,0.180327282932328,10.451,0.025,1.20269653,0.017029386366,0.0602681299801453,17.672529457339913,0.034386108128368065,269.91182268705944,37.15610953977588,-19.48358008243597,-0.1078051316847149
0.04499953,1.134e-05,z_gal,58434.74962481384,0.0022238432862521,-0.9339476769636802,-0.1574651524018638,0.1331791302109195,7.10584277671027e-05,0.1251145170605265,0.0334361312100955,1.7804940402094317e-07,-0.0003720120968129,-0.0006616734772205,-1.0735817179501853e-06,-1.858681382299583e-06,-0.000441836864187,0.0181938154769243,3.1,0.0,4.634773722615129e-07,177.450738,25.650593,snia-cosmo,norm,1.0,1.0,2018hvf,100.0,177.45088730316562,25.65041273485299,10.659,0.1358823020117042,1.19569653,0.018439088915,0.2168452884637309,10.32,0.069,1.17169653,0.018439088915,0.0463465738467046,17.132239551621062,0.03470432518109767,205.50295447214765,36.56409035008056,-19.4318507984595,0.14329282656749692
0.05162126,1.545e-05,z_gal,58244.392092668335,0.0014354810710727,-1.5499715624490762,-0.0974180166884805,0.1392763679104973,5.127494989355652e-05,0.123737716320518,0.0343347552817762,9.83271626040462e-07,0.0008746150488919,-0.0011021783314502,-1.5007752062466468e-06,-1.4046152017261963e-06,-7.552253045463055e-05,0.0158763275518913,3.1,0.0,0.9334541663876764,217.252198,17.325131,snia-cosmo,norm,1.0,1.0,2018bfd,100.0,217.2467970197358,17.32056527251976,11.251,0.1656019323558756,1.29569653,0.017691806013,1.8725931110051337,6.991,0.531,1.20269653,0.566095398321,0.0519415844859834,17.607506324851595,0.03879867565481909,231.24259379231194,36.820339160533436,-19.21283283568184,0.15760795066221797
0.05940777,0.00010721,z_gal,59023.50397702596,0.0010335113120171,-1.6893732765356584,0.0270734508817479,0.0778485096452641,3.210150525874314e-05,0.1172479482109208,0.0285908445783141,2.2269963480818148e-08,0.0009543289768764,0.0001884076919918,-2.442766349772001e-07,-7.942002989511354e-07,6.500163295338481e-05,0.1022161341810794,3.1,0.0,0.8796925358868746,270.75543,20.631021,snia-cosmo,norm,1.0,1.0,2020mnu,100.0,270.75528371,20.63128264,11.007,0.1038460398859773,1.31369653,0.016970562748,0.1317938939975656,10.265,0.096,1.40169653,0.018439088915,0.0592030666305058,17.964211913896232,0.03373449434681319,264.94145088808415,37.11574955146476,-19.151537637568527,-0.13687299922252677
0.05637736,1.621e-05,z_gal,58964.34717634896,0.0008349782821446,-2.408883764870119,-0.0419054141189688,0.1139023640680534,2.6599389943144107e-05,0.115042609530835,0.029608288121623,-2.583888544064069e-07,-0.0001122692002597,-4.659172337574811e-05,-2.938751151224012e-07,-6.557952963405621e-07,-6.839603510282339e-05,0.0217103828176175,3.1,0.0,1.4926246955764006e-05,226.264963,28.815426,snia-cosmo,norm/99aa,1.0,1.0,2020hll,100.0,226.26485936877265,28.815462972940207,10.261,0.1256025477448606,1.27469653,0.018439088915,0.0798240212251188,9.91,0.056,1.29669653,0.017691806013,0.0564176178353665,18.19581205101381,0.034599338273675784,251.9758866941145,37.006794910718185,-18.810982859704374,0.11333130812679186
0.0483158,1.393e-05,z_gal,58259.26613876197,0.0015232139873357,-1.962195851872896,-0.0451113238612761,0.079259834219556,5.018377010567658e-05,0.072459557583571,0.029049131891778,2.662159270702988e-07,-0.0003562676648787,-0.000230580809688,-6.998595903797694e-07,-1.270532950227751e-06,0.0002141533362588,0.0093589566149218,3.1,0.0,0.9903406130238466,173.260486,62.743977,snia-cosmo,norm/04gs,1.0,1.0,2018bio,100.0,173.26155147064188,62.74652303510749,10.723,0.1616446720433432,1.32169653,0.018439088915,0.93332317220068,9.017,0.136,1.38569653,0.033941125497,0.0495465104371883,17.54309770227883,0.03578358866870168,220.2000314280697,36.71408688310228,-19.170989180823454,-0.08193778640130585
0.0380507,1.012e-05,z_gal,58347.54384172348,0.0019459343073347,-2.013348077937162,-0.0051490342709194,0.0937031099238083,5.965149971836128e-05,0.0480686072117547,0.0277347150355404,-2.948226635054791e-07,-0.0013875642059878,-0.0001809906676408,2.0356979379184865e-07,-1.4280745915688042e-06,-0.0001326737780769,0.0141133787825965,3.1,0.0,0.9741121925819882,243.640791,36.943455,snia-cosmo,norm/04gs,1.0,1.0,2018euz,100.0,243.6402208515554,36.943774054776654,10.128,0.1062826420446913,1.00069653,0.019104973175,0.2742796625396517,9.369,0.048,0.96369653,0.021931712199,0.0395991923008165,17.277179562845948,0.03329305145923911,174.72485006862703,36.21177338238989,-18.934593819543945,-0.02588640900283534
0.03391415,1.397e-05,z_gal,58266.11375089269,0.0033919635849725,-1.824638692179837,-0.0667180229827759,0.0961287724348949,0.0001143356362082,0.1109014085842013,0.0305574491185314,-1.136058833472194e-06,-0.0008205566911202,0.0003923856960112,-2.3539586710580323e-06,-2.9961001541799097e-06,0.0002065878606544,0.015826338486903,3.1,0.0,0.0905583026664804,173.61612,46.36262,snia-cosmo,norm,1.0,1.0,2018btb,100.0,173.61871682830855,46.360580544852034,10.518,0.1232233744059949,1.23069653,0.019849433241,0.7381446343627439,8.798,0.028,1.15969653,0.105118980208,0.0356501988598911,16.673872047089603,0.03661165123909349,156.84574431315207,35.97736369752813,-19.30349165043853,-0.15847369060785532
0.03821112,1.012e-05,z_gal,58260.94123041927,0.0034885141241974,-0.1102728050389887,-0.0742017274177364,0.1659877141064498,0.0001111840731164,0.0858738951608362,0.0312199206533705,-1.2057536643093883e-06,-0.006653764982402,-0.0001935809623032,-1.613727628784477e-07,-2.8819373536143527e-06,-0.0001721576767358,0.0524145469468381,3.1,0.0,0.8358090260599885,291.911558,61.947225,snia-cosmo,norm/99aa,1.0,1.0,2018bsr,100.0,291.91153064954966,61.9472315315887,10.19,0.1118033988749895,1.07769653,0.017029386366,0.0091742108622349,9.604,0.016,1.05169653,0.017804493815,0.0379518064802657,16.643398785805132,0.03461573279027341,167.2542130697772,36.11688533144926,-19.47348654564413,0.02921964246567539
0.0439203,1.621e-05,z_gal,58272.78173810682,0.0020846559787039,-0.4454500501924475,0.071208650678753,0.2038984662176517,7.120261458282021e-05,0.1277437515458973,0.0300381729556912,-1.3726266265788505e-06,-0.0103927903886397,8.580189757292525e-06,-1.645216214014648e-06,-1.813683155683252e-06,0.0003032934535961,0.0168183771344611,3.1,0.0,0.3817735625419622,213.829732,16.892165,snia-cosmo,norm,1.0,1.0,2018byi,100.0,213.8289079302207,16.88796917682264,10.814,0.1109233969908963,1.29669653,0.019849433241,1.211138724554703,8.471,0.09,1.26669653,0.194139125371,0.0448804823346324,17.20241401105148,0.03709837050751297,198.79088110902026,36.49198229329277,-19.28956828224129,-0.1268780904183554
0.03388557,1.34e-05,z_gal,58279.18727019683,0.002995376137683,-2.0323214406771664,-0.089122525453026,0.072839623218897,9.830080315879897e-05,0.0968417179323437,0.0297150570233582,7.597220574246378e-07,0.001390315132443,-0.0002282511928558,-1.454189847052142e-06,-2.475620968393629e-06,2.752283439870184e-05,0.0179138015543455,3.1,0.0,0.9998321413206094,185.006859,56.15889,snia-cosmo,norm,1.0,1.0,2018cdt,100.0,185.00632415373224,56.16290458643692,10.632,0.1407160260951111,1.31369653,0.018439088915,0.9768884820060384,8.791,0.068,1.30769653,0.031064449134,0.0352881404218807,16.808871585721487,0.0356439645825084,155.2114996765025,35.954619475752324,-19.145747890030837,0.02033489185045534
0.04730228,1.138e-05,z_gal,58292.10301631165,0.0015470893528834,-0.1348585493857252,0.0505437529840757,0.0474454282484657,4.7728855835280494e-05,0.0659209457349102,0.0271160263306572,1.906562158081901e-07,0.0002972471695924,-0.0001257527705504,-4.1268557045985524e-07,-1.1244590255824892e-06,3.1574642741707845e-05,0.0126263153150792,3.1,0.0,0.9923944068074302,226.069174,35.815035,snia-cosmo,norm,1.0,1.0,2018cny,100.0,226.0654659087905,35.81666432162565,10.418,0.1041201229350023,1.32069653,0.018384776311,1.2845260974252213,8.271,0.066,1.08369653,0.151327459504,0.0480434212131417,17.526211506728366,0.03350640129638016,213.28841551012798,36.644836339679095,-19.11862483295073,0.11234634696522655
0.02404901,5.058e-05,z_gal,58288.53284829814,0.0058800572140121,-2.348369452215779,-0.094550781450147,0.260395652938314,0.0002369773775466,0.4844169808031152,0.0412988477172058,4.901378813251751e-07,0.0926599434695323,-0.0014474457623104,-1.81131329895813e-05,-7.921991335730648e-06,-0.0005226794495871,0.0237255047516122,3.1,0.0,0.5255754167949103,174.623439,20.528727,snia-cosmo,norm,1.0,1.0,2018cmk,100.0,174.6227752300692,20.527679482036323,10.996,0.1023914058893616,1.30169653,0.018439088915,0.2491142326845695,10.078,0.021,1.36769653,0.020518284529,0.0259330335068799,16.076546120350105,0.043780927311983575,113.27619276715534,35.270693219383745,-19.19414709903364,-0.03989691167418154
0.0557604,1.756e-05,z_gal,58299.78950224874,0.0009737328245145,-0.795190141679005,0.0223082893455096,0.159427796555974,3.56207023371305e-05,0.2806114617105025,0.0324708345670195,6.116320622054601e-07,0.0084584430319733,7.31746812711987e-05,-3.576442184151129e-06,-9.625595681507155e-07,0.0018630988334476,0.0106452720578886,3.1,0.0,0.0482747876036742,195.440843,61.465484,snia-cosmo,norm,1.0,1.0,2018cty,100.0,195.4405758118132,61.46547921917294,10.196,0.1386217876093076,1.19469653,0.018384776311,0.1315844420777299,9.891,0.077,1.27469653,0.020615528128,0.0565330108388404,18.02890047422107,0.03973569619601136,252.5120514388007,37.011410550857,-18.98251007663593,0.14060350570729988
0.03831397,1.369e-05,z_gal,58313.0607385837,0.002684166246411,-0.8905981334730078,0.029441158700295,0.1757443690694344,0.0002161021002379,0.3387555521861454,0.062818337072414,1.489108728724042e-05,-0.0093666172852561,-0.00412511071479,-5.945737104002291e-05,-1.2381338009636552e-05,0.0143012207355125,0.0107177710096558,3.1,0.0,0.2514520921172347,184.683598,44.782023,snia-cosmo,norm,1.0,1.0,2018ddh,100.0,184.68474434086068,44.78116072136296,10.891,0.125,1.23369653,0.018439088915,0.2618148051485891,9.806,0.128,1.21469653,0.019104973175,0.0397286098163063,16.927976473061822,0.08760217465375497,175.31246988848127,36.21906404171108,-19.291087568649257,-0.11898960603145288
0.05156123,1.525e-05,z_gal,58315.84425291175,0.0012180784556245,-1.1547722038882269,0.0450972330957445,0.1285831040477205,4.080629738617309e-05,0.0860038419663886,0.0302914667383317,-4.957431085196366e-07,-4.642971424076396e-06,-0.0001332567110251,-4.371030320059766e-07,-1.0497784336638406e-06,-7.497730059071064e-05,0.0214422801581684,3.1,0.0,0.0850348424194874,222.02355,63.216698,snia-cosmo,norm,1.0,1.0,2018der,100.0,222.02582881175024,63.21657551890417,10.912,0.1600781059358212,1.31169653,0.017691806013,0.4160900321821552,9.504,0.125,1.32369653,0.022803508502,0.0524426849414627,17.78581184545764,0.036386375342168265,233.55748857776905,36.84196898337834,-19.056157137920696,0.02284619966760086
